Participante,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas,indice_creencia_norm
12,Resolución Individual,22.0,M,0,V,I,VI,2,1,1,0.0
12,Resolución Individual,22.0,M,0,I,C,IC,3,0,1,0.0
12,Resolución Individual,22.0,M,0,I,I,II,4,0,1,0.0
12,Resolución Individual,22.0,M,0,V,C,VC,5,1,1,0.0
12,Resolución Individual,22.0,M,0,V,I,VI,6,1,1,0.0
12,Resolución Individual,22.0,M,0,I,C,IC,7,0,1,0.0
12,Resolución Individual,22.0,M,0,I,I,II,8,0,1,0.0
13,Resolución Individual,19.0,O,0,V,C,VC,1,1,1,0.0
13,Resolución Individual,19.0,O,0,V,I,VI,2,1,1,0.0
13,Resolución Individual,19.0,O,0,I,C,IC,3,0,1,0.0
13,Resolución Individual,19.0,O,0,I,I,II,4,0,1,0.0
13,Resolución Individual,19.0,O,0,V,C,VC,5,1,1,0.0
13,Resolución Individual,19.0,O,0,V,I,VI,6,1,1,0.0
13,Resolución Individual,19.0,O,0,I,C,IC,7,1,0,0.0
13,Resolución Individual,19.0,O,0,I,I,II,8,1,0,0.0
14,Resolución Individual,36.0,F,0,V,C,VC,1,0,0,0.0
14,Resolución Individual,36.0,F,0,V,I,VI,2,0,0,0.0
14,Resolución Individual,36.0,F,0,I,C,IC,3,0,1,0.0
14,Resolución Individual,36.0,F,0,I,I,II,4,0,1,0.0
14,Resolución Individual,36.0,F,0,V,C,VC,5,1,1,0.0
14,Resolución Individual,36.0,F,0,V,I,VI,6,1,1,0.0
14,Resolución Individual,36.0,F,0,I,C,IC,7,0,1,0.0
14,Resolución Individual,36.0,F,0,I,I,II,8,0,1,0.0
15,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.0
15,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.0
15,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.0
15,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.0
15,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.0
15,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.0
15,Resolución Individual,19.0,F,0,I,C,IC,7,0,1,0.0
15,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.0
16,Resolución Individual,47.0,F,0,V,C,VC,1,1,1,0.25
16,Resolución Individual,47.0,F,0,V,I,VI,2,0,0,0.25
16,Resolución Individual,47.0,F,0,I,C,IC,3,1,0,0.25
16,Resolución Individual,47.0,F,0,I,I,II,4,0,1,0.25
16,Resolución Individual,47.0,F,0,V,C,VC,5,1,1,0.25
16,Resolución Individual,47.0,F,0,V,I,VI,6,1,1,0.25
16,Resolución Individual,47.0,F,0,I,C,IC,7,0,1,0.25
16,Resolución Individual,47.0,F,0,I,I,II,8,1,0,0.25
17,Resolución Individual,57.0,F,0,V,C,VC,1,1,1,0.5
17,Resolución Individual,57.0,F,0,V,I,VI,2,0,0,0.5
17,Resolución Individual,57.0,F,0,I,C,IC,3,0,1,0.5
17,Resolución Individual,57.0,F,0,I,I,II,4,0,1,0.5
17,Resolución Individual,57.0,F,0,V,C,VC,5,1,1,0.5
17,Resolución Individual,57.0,F,0,V,I,VI,6,0,0,0.5
17,Resolución Individual,57.0,F,0,I,C,IC,7,0,1,0.5
17,Resolución Individual,57.0,F,0,I,I,II,8,0,1,0.5
18,Resolución Individual,18.0,F,0,V,C,VC,1,1,1,0.5
18,Resolución Individual,18.0,F,0,V,I,VI,2,1,1,0.5
18,Resolución Individual,18.0,F,0,I,C,IC,3,1,0,0.5
18,Resolución Individual,18.0,F,0,I,I,II,4,0,1,0.5
18,Resolución Individual,18.0,F,0,V,C,VC,5,1,1,0.5
18,Resolución Individual,18.0,F,0,V,I,VI,6,0,0,0.5
18,Resolución Individual,18.0,F,0,I,C,IC,7,0,1,0.5
18,Resolución Individual,18.0,F,0,I,I,II,8,0,1,0.5
19,Resolución Individual,18.0,M,0,V,C,VC,1,0,0,0.25
19,Resolución Individual,18.0,M,0,V,I,VI,2,1,1,0.25
19,Resolución Individual,18.0,M,0,I,C,IC,3,1,0,0.25
19,Resolución Individual,18.0,M,0,I,I,II,4,0,1,0.25
19,Resolución Individual,18.0,M,0,V,C,VC,5,1,1,0.25
19,Resolución Individual,18.0,M,0,V,I,VI,6,1,1,0.25
19,Resolución Individual,18.0,M,0,I,C,IC,7,1,0,0.25
19,Resolución Individual,18.0,M,0,I,I,II,8,0,1,0.25
20,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.0
20,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.0
20,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.0
20,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.0
20,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.0
20,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.0
20,Resolución Individual,19.0,F,0,I,C,IC,7,0,1,0.0
20,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.0
21,Resolución Individual,26.0,F,0,V,C,VC,1,1,1,0.25
21,Resolución Individual,26.0,F,0,V,I,VI,2,1,1,0.25
21,Resolución Individual,26.0,F,0,I,C,IC,3,0,1,0.25
21,Resolución Individual,26.0,F,0,I,I,II,4,0,1,0.25
21,Resolución Individual,26.0,F,0,V,C,VC,5,1,1,0.25
21,Resolución Individual,26.0,F,0,V,I,VI,6,1,1,0.25
21,Resolución Individual,26.0,F,0,I,C,IC,7,1,0,0.25
21,Resolución Individual,26.0,F,0,I,I,II,8,0,1,0.25
22,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.25
22,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.25
22,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.25
22,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.25
22,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.25
22,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.25
22,Resolución Individual,19.0,F,0,I,C,IC,7,1,0,0.25
22,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.25
23,Resolución Individual,19.0,F,0,V,C,VC,1,1,1,0.5
23,Resolución Individual,19.0,F,0,V,I,VI,2,0,0,0.5
23,Resolución Individual,19.0,F,0,I,C,IC,3,1,0,0.5
23,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.5
23,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.5
23,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.5
23,Resolución Individual,19.0,F,0,I,C,IC,7,0,1,0.5
23,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.5
24,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,1.0
24,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,1.0
24,Resolución Individual,20.0,F,0,I,C,IC,3,1,0,1.0
24,Resolución Individual,20.0,F,0,I,I,II,4,0,1,1.0
24,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,1.0
24,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,1.0
24,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,1.0
24,Resolución Individual,20.0,F,0,I,I,II,8,0,1,1.0
25,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.25
25,Resolución Individual,20.0,F,0,V,I,VI,2,1,1,0.25
25,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.25
25,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.25
25,Resolución Individual,20.0,F,0,V,C,VC,5,0,0,0.25
25,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.25
25,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.25
25,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.25
26,Resolución Individual,19.0,F,0,V,C,VC,1,0,0,0.0
26,Resolución Individual,19.0,F,0,V,I,VI,2,1,1,0.0
26,Resolución Individual,19.0,F,0,I,C,IC,3,0,1,0.0
26,Resolución Individual,19.0,F,0,I,I,II,4,0,1,0.0
26,Resolución Individual,19.0,F,0,V,C,VC,5,1,1,0.0
26,Resolución Individual,19.0,F,0,V,I,VI,6,1,1,0.0
26,Resolución Individual,19.0,F,0,I,C,IC,7,1,0,0.0
26,Resolución Individual,19.0,F,0,I,I,II,8,0,1,0.0
27,Resolución Individual,18.0,F,0,V,C,VC,1,0,0,-0.25
27,Resolución Individual,18.0,F,0,V,I,VI,2,1,1,-0.25
27,Resolución Individual,18.0,F,0,I,C,IC,3,0,1,-0.25
27,Resolución Individual,18.0,F,0,I,I,II,4,0,1,-0.25
27,Resolución Individual,18.0,F,0,V,C,VC,5,1,1,-0.25
27,Resolución Individual,18.0,F,0,V,I,VI,6,1,1,-0.25
27,Resolución Individual,18.0,F,0,I,C,IC,7,0,1,-0.25
27,Resolución Individual,18.0,F,0,I,I,II,8,0,1,-0.25
