Participante,Modalidad,Edad,Género,Grupo,Validez_sil1,Validez_sil2,Validez_sil3,Validez_sil4,Validez_sil5,Validez_sil6,Validez_sil7,Validez_sil8,Creencia_sil1,Creencia_sil2,Creencia_sil3,Creencia_sil4,Creencia_sil5,Creencia_sil6,Creencia_sil7,Creencia_sil8,ValidezxCreencia_sil1,ValidezxCreencia_sil2,ValidezxCreencia_sil3,ValidezxCreencia_sil4,ValidezxCreencia_sil5,ValidezxCreencia_sil6,ValidezxCreencia_sil7,ValidezxCreencia_sil8,Aceptación_sil1,Aceptación_sil2,Aceptación_sil3,Aceptación_sil4,Aceptación_sil5,Aceptación_sil6,Aceptación_sil7,Aceptación_sil8,Correctas_sil1,Correctas_sil2,Correctas_sil3,Correctas_sil4,Correctas_sil5,Correctas_sil6,Correctas_sil7,Correctas_sil8,indice_creencia_norm
120,Resolución Grupal,20,F,1,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
121,Resolución Grupal,22,F,1,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
122,Resolución Grupal,24,F,1,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
123,Resolución Grupal,21,F,1,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
124,Resolución Grupal,20,M,1,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
125,Resolución Grupal,21,F,2,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0.75
126,Resolución Grupal,20,F,2,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0.75
127,Resolución Grupal,21,F,2,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0.75
128,Resolución Grupal,21,F,2,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0.75
129,Resolución Grupal,23,M,2,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0.75
130,Resolución Grupal,20,F,3,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
131,Resolución Grupal,22,F,3,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
132,Resolución Grupal,20,F,3,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
133,Resolución Grupal,21,F,3,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
134,Resolución Grupal,22,F,3,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
135,Resolución Grupal,20,F,4,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
136,Resolución Grupal,23,F,4,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
137,Resolución Grupal,22,F,4,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
138,Resolución Grupal,20,F,4,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
139,Resolución Grupal,27,F,5,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
140,Resolución Grupal,18,F,5,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
141,Resolución Grupal,22,F,5,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
142,Resolución Grupal,21,F,5,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
143,Resolución Grupal,19,F,5,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
144,Resolución Grupal,26,F,6,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
145,Resolución Grupal,23,F,6,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
146,Resolución Grupal,21,F,6,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
147,Resolución Grupal,24,M,6,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
148,Resolución Grupal,20,F,6,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
149,Resolución Grupal,21,F,7,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
150,Resolución Grupal,20,F,7,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
151,Resolución Grupal,22,F,7,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
152,Resolución Grupal,25,F,7,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
153,Resolución Grupal,24,F,7,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
154,Resolución Grupal,23,M,8,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
155,Resolución Grupal,21,F,8,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
156,Resolución Grupal,23,F,8,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
157,Resolución Grupal,22,F,8,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
158,Resolución Grupal,25,F,8,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
159,Resolución Grupal,33,M,9,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,-0.25
160,Resolución Grupal,29,F,9,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,-0.25
161,Resolución Grupal,26,F,9,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,-0.25
162,Resolución Grupal,26,F,9,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,-0.25
163,Resolución Grupal,45,F,10,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
164,Resolución Grupal,27,M,10,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
165,Resolución Grupal,31,M,10,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
166,Resolución Grupal,24,M,10,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
167,Resolución Grupal,25,F,11,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
168,Resolución Grupal,27,M,11,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
169,Resolución Grupal,29,F,11,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
170,Resolución Grupal,31,F,11,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
171,Resolución Grupal,23,F,12,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0.75
172,Resolución Grupal,41,F,12,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0.75
173,Resolución Grupal,22,M,12,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0.75
174,Resolución Grupal,23,M,12,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0.75
175,Resolución Grupal,24,F,12,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0.75
176,Resolución Grupal,22,F,13,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0.25
177,Resolución Grupal,21,F,13,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0.25
178,Resolución Grupal,21,F,13,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0.25
179,Resolución Grupal,21,M,13,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0.25
180,Resolución Grupal,21,F,13,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0.25
181,Resolución Grupal,22,F,14,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
182,Resolución Grupal,24,F,14,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
183,Resolución Grupal,23,F,14,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
184,Resolución Grupal,23,F,14,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
185,Resolución Grupal,41,F,15,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
186,Resolución Grupal,39,M,15,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
187,Resolución Grupal,37,F,15,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
188,Resolución Grupal,22,F,15,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
189,Resolución Grupal,21,F,15,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
190,Resolución Grupal,24,F,16,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
191,Resolución Grupal,23,F,16,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
192,Resolución Grupal,26,F,16,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
193,Resolución Grupal,22,F,16,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
194,Resolución Grupal,21,F,16,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
195,Resolución Grupal,24,F,17,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
196,Resolución Grupal,21,F,17,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
197,Resolución Grupal,29,F,17,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
198,Resolución Grupal,22,M,18,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
199,Resolución Grupal,22,F,18,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
200,Resolución Grupal,28,M,18,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
201,Resolución Grupal,23,M,18,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
202,Resolución Grupal,21,F,18,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
203,Resolución Grupal,22,F,19,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
204,Resolución Grupal,28,F,19,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
205,Resolución Grupal,22,M,19,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
206,Resolución Grupal,30,M,19,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
207,Resolución Grupal,23,F,19,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
208,Resolución Grupal,22,M,20,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
209,Resolución Grupal,19,M,20,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
210,Resolución Grupal,18,M,20,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
211,Resolución Grupal,19,F,20,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
212,Resolución Grupal,22,F,20,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
213,Resolución Grupal,19,F,21,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
214,Resolución Grupal,21,F,21,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
215,Resolución Grupal,18,F,21,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
216,Resolución Grupal,19,F,21,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
217,Resolución Grupal,18,F,21,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
218,Resolución Grupal,18,F,22,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
219,Resolución Grupal,19,F,22,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
220,Resolución Grupal,18,F,22,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
221,Resolución Grupal,18,F,22,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
222,Resolución Grupal,20,F,22,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
223,Resolución Grupal,19,M,23,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.0
224,Resolución Grupal,19,F,23,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.0
225,Resolución Grupal,22,F,23,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.0
226,Resolución Grupal,19,F,24,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
227,Resolución Grupal,19,F,24,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
228,Resolución Grupal,21,F,24,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
229,Resolución Grupal,19,F,24,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
230,Resolución Grupal,19,F,24,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
231,Resolución Grupal,30,F,25,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
232,Resolución Grupal,18,F,25,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
233,Resolución Grupal,19,M,25,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
234,Resolución Grupal,19,F,25,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
235,Resolución Grupal,18,F,25,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.25
236,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
237,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
238,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
239,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
240,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
240,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
240,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
241,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
241,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
241,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
